"Term","WordNet Category","Synset Definition","Frequency","Synset Example"
"abate","change","make less active or intense","1","make less active or intense"
"abbreviate","change","reduce in scope while retaining essential elements","1"," ""The manuscript must be shortened"""
"ablate","change","wear away through erosion or vaporization","1","wear away through erosion or vaporization"
"abort","change","terminate before completion","1"," ""abort the mission""; ""abort the process running on my computer"""
"abridge","change","reduce in scope while retaining essential elements","2"," ""The manuscript must be shortened"""
"absent","change","go away or leave","2"," ""He absented himself"""
"absorb","change","cause to become one with","8"," ""The sales tax is absorbed into the state income tax"""
"abuse","change","change the inherent purpose or function of something","3"," ""Don't abuse the system""; ""The director of the factory misused the funds intended for the health care of his workers"""
"accelerate","change","move faster","3"," ""The car accelerated"""
"acclimate","change","get used to a certain climate","1"," ""They never acclimatized in Egypt"""
"acclimatise","change","get used to a certain climate","1"," ""They never acclimatized in Egypt"""
"acclimatize","change","get used to a certain climate","2"," ""They never acclimatized in Egypt"""
"accommodate","change","make fit for, or change to suit a new purpose","5"," ""Adapt our native cuisine to the available food resources of the new country"""
"accrete","change","grow together (of plants and organs)","1"," ""After many years the rose bushes grew together"""
"accrue","change","grow by addition","2"," ""The interest accrues"""
"acculturate","change","assimilate culturally","2","assimilate culturally"
"accumulate","change","collect or gather","3"," ""Journals are accumulating in my office""; ""The work keeps piling up"""
"accustom","change","make psychologically or physically used (to something)","2"," ""She became habituated to the background music"""
"acerbate","change","make sour or bitter","1","make sour or bitter"
"acetify","change","turn acidic","1"," ""the solution acetified"""
"acetylate","change","receive substitution of an acetyl group","1"," ""the compounds acetylated"""
"acetylise","change","receive substitution of an acetyl group","1"," ""the compounds acetylated"""
"acetylize","change","receive substitution of an acetyl group","1"," ""the compounds acetylated"""
"achromatise","change","remove color from","1"," ""achromatize the lenses"""
"achromatize","change","remove color from","1"," ""achromatize the lenses"""
"acidify","change","turn acidic","1"," ""the solution acetified"""
"acquire","change","take on a certain form, attribute, or aspect","4"," ""His voice took on a sad tone""; ""The story took a new turn""; ""he adopted an air of superiority""; ""She assumed strange manners""; ""The gods assume human or animal form in these fables"""
"activate","change","make active or more active","3"," ""activate an old file"""
"acuminate","change","make sharp or acute","1"," taper; make (something) come to a point"
"adapt","change","make fit for, or change to suit a new purpose","3"," ""Adapt our native cuisine to the available food resources of the new country"""
"add","change","make an addition (to)","6"," join or combine or unite with others; increase the quality, quantity, size or scope of; ""We added two students to that dorm room""; ""She added a personal note to her letter""; ""Add insult to injury""; ""Add some extra plates to the dinner table"""
"add_on","change","make an addition","2"," ""Let's add on to this"""
"add_to","change","have an increased effect","1"," ""This adds to my worries"""
"addle","change","become rotten","1"," ""addled eggs"""
"address","change","adjust and aim (a golf ball) at in preparation of hitting","6","adjust and aim (a golf ball) at in preparation of hitting"
"adhere","change","follow through or carry out a plan without deviation","4"," ""They adhered to their plan"""
"adjoin","change","attach or add","2"," ""I adjoin a copy of your my lawyer's letter"""
"adjourn","change","close at the end of a session","2"," ""The court adjourned"""
"adjust","change","alter or regulate so as to achieve accuracy or conform to a standard","5"," ""Adjust the clock, please""; ""correct the alignment of the front wheels"""
"admix","change","mix or blend","2"," ""Hyaline casts were admixed with neutrophils"""
"adolesce","change","become adolescent","1"," pass through adolescence; ""The children are beginning to adolesce around the age of 12"""
"adopt","change","take on a certain form, attribute, or aspect","6"," ""His voice took on a sad tone""; ""The story took a new turn""; ""he adopted an air of superiority""; ""She assumed strange manners""; ""The gods assume human or animal form in these fables"""
"adulterate","change","corrupt, debase, or make impure by adding a foreign or inferior substance","1"," often by replacing valuable ingredients with inferior ones; ""adulterate liquor"""
"advance","change","increase or raise","9"," ""boost the voltage in an electrical circuit"""
"aerate","change","aerate (sewage) so as to favor the growth of organisms that decompose organic matter","1","aerate (sewage) so as to favor the growth of organisms that decompose organic matter"
"aerify","change","turn into gas","1"," ""The substance gasified"""
"affect","change","have an effect upon","5"," ""Will the new rules affect me?"""
"afflict","change","cause physical pain or suffering in","1"," ""afflict with the plague"""
"age","change","begin to seem older","3"," get older; ""The death of his wife caused him to age fast"""
"Agenise","change","age or bleach flour with Agene (nitrogen trichloride)","1","age or bleach flour with Agene (nitrogen trichloride)"
"Agenize","change","age or bleach flour with Agene (nitrogen trichloride)","1","age or bleach flour with Agene (nitrogen trichloride)"
"aggravate","change","make worse","3"," ""This drug aggravates the pain"""
"air","change","expose to warm or heated air, so as to dry","2"," ""Air linen"""
"air-slake","change","alter by exposure to air with conversion at least in part to a carbonate","1"," ""air-slake lime"""
"air_out","change","expose to cool or cold air so as to cool or freshen","1"," ""air the old winter clothes""; ""air out the smoke-filled rooms"""
"alchemise","change","alter (elements) by alchemy","1","alter (elements) by alchemy"
"alchemize","change","alter (elements) by alchemy","1","alter (elements) by alchemy"
"alcoholise","change","treat or infuse with alcohol","1"," ""alcoholize the fruit and let them sit in the refrigerator"""
"alcoholize","change","treat or infuse with alcohol","1"," ""alcoholize the fruit and let them sit in the refrigerator"""
"align","change","place in a line or arrange so as to be parallel or straight","4"," ""align the car with the curb""; ""align the sheets of paper on the table"""
"aline","change","place in a line or arrange so as to be parallel or straight","1"," ""align the car with the curb""; ""align the sheets of paper on the table"""
"alkalify","change","turn basic and less acidic","1"," ""the solution alkalized"""
"alkalinise","change","become alkaline","1","become alkaline"
"alkalinize","change","become alkaline","1","become alkaline"
"alkalise","change","turn basic and less acidic","1"," ""the solution alkalized"""
"alkalize","change","turn basic and less acidic","1"," ""the solution alkalized"""
"allegorise","change","make into an allegory","1"," ""The story was allegorized over time"""
"allegorize","change","make into an allegory","1"," ""The story was allegorized over time"""
"alleviate","change","make easier","3"," ""you could facilitate the process by sharing your knowledge"""
"alligator","change","crack and acquire the appearance of alligator hide, as from weathering or improper application","1"," of paint and varnishes"
"alloy","change","lower in value by increasing the base-metal content","1","lower in value by increasing the base-metal content"
"alphabetise","change","arrange in alphabetical order","1"," ""Alphabetize the list"""
"alphabetize","change","arrange in alphabetical order","2"," ""Alphabetize the list"""
"alter","change","cause to change","4"," make different; cause a transformation; ""The advent of the automobile may have altered the growth pattern of the city""; ""The discussion has changed my thinking about the issue"""
"alternate","change","go back and forth","2"," swing back and forth between two states or conditions"
"amass","change","collect or gather","2"," ""Journals are accumulating in my office""; ""The work keeps piling up"""
"ameliorate","change","to make better","1"," ""The editor improved the manuscript with his changes"""
"amend","change","to make better","3"," ""The editor improved the manuscript with his changes"""
"Americanise","change","make American in character","1"," ""The year in the US has completely Americanized him"""
"Americanize","change","make American in character","1"," ""The year in the US has completely Americanized him"""
"ammoniate","change","treat with ammonia","1","treat with ammonia"
"ammonify","change","treat with ammonia","1"," cause to undergo ammonification"
"amplify","change","increase in size, volume or significance","2"," ""Her terror was magnified in her mind"""
"anglicise","change","make English in appearance","1"," ""She anglicised her name after moving from Paris to London"""
