FrameNet frame,Definition
Abandonment,An Agent leaves behind a Theme effectively rendering it no longer within their control or of the normal security as one's property. 'Carolyn abandoned her car and jumped on a red double decker bus.' '...
Abounding_with,"A Location is filled or covered with the Theme. The Location is realized as the External Argument, and the Theme either as PP complement headed by with, in or of. NB: This frame does not include uses ..."
Absorb_heat,"An Entity (generally food) is exposed to a Heat_source whose Temperature may also be specified. Generally, the Entity undergoes some sort of change as a result of this process. 'Bacon was frying in th..."
Abundance,The Quantity of a Collection occurring in a Place has a particular Measure. The Measure of the Collection is referred to only in terms of how the Measure diverges from a norm for Collections of the sp...
Abusing,"In this frame an Abuser repeatedly treats the Victim in a cruel and violent way, including physically harming or forcing the Victim to engage in sexual activity against their will. The Victim usually ..."
Accompaniment,A Co_participant fills the same role as the Participant in an event or relation. '' 'The mayor was killed along with three bodyguards and his driver.' 'The doctor told me to take my regular pill in co...
Accomplishment,"After a period in which the Agent has been working on a Goal, the Agent manages to attain it. The Goal may be a desired state, or be conceptualized as an event. '' 'Jeremey obediently accomplished thi..."
Accoutrements,"A Wearer wears accessories, which are made of some Material and may have a Style. Most of the accessories are non-essential (clothing) items. 'She wore a black velvet hat on her head.'"
Accuracy,"An Agent is involved in an activity whose degree of success is dependent on a parameter of the action matching a particular set of values of a continuous variable or variables (e.g. quantity, location..."
Achieving_first,A Cognizer introduces a New_idea into society. 'It is difficult to imagine how different our lives would be without Edison's invention of the light bulb.'
Active_substance,A Substance causes an Effect. The Substance is produced by a process understood as directed towards the Effect. The Name for the material that makes up the substance may also be given. 'A rationale fo...
Activity_done_state,An Agent has completed an Activity. '' 'Finally I am done cleaning the apartment.' 'Construction on the new Safeway was done by October.'
Activity_finish,"An Agent finishes an Activity, which can no longer logically continue. This frame is a subframe of Activity. '' 'Jason completed grading the papers late Sunday night.' 'Upon completion of the final ex..."
Activity_ongoing,"An Agent is performing the portion of an Activity in which there is dynamic stability. '' 'Not noticing the hoards of people rushing by the window, Manny continued eating his lunch.' 'Keep living the ..."
Activity_pause,An Agent pauses in the course of an Activity. '' 'The government froze settlement construction in 1992 to facilitate peace talks.' 'The lifting of the nuclear freeze was deemed necessary to generate n...
Activity_prepare,An Agent prepares for an Activity. '' 'The troops were preparing themselves for the mission.' 'The boats are getting ready to leave the pier.'
Activity_ready_state,"The Protagonist is in an initial state, before beginning to be involved in the Activity, but all pre-conditions for performance of the Activity have been satisfied. In many cases, the Protagonist is a..."
Activity_resume,An Agent resumes participation in an Activity. Progress on the Activity is retained from before the interruption. 'Normal Service Will Be Resumed Shortly. CNI' The Kinshasa government has resumed supp...
Activity_start,"An Agent initiates the beginning of an ongoing Activity in which he will be continuously involved. '' 'At the same time, city-states began to grow in influence on the southern Greek mainland.' 'Natura..."
Activity_stop,"An Agent ceases an Activity without completing it. '' 'After the lawsuit, the company stopped producing the once very profitable toy.' 'The rugby club terminated negotiations with Argyll in September ..."
Actually_occurring_entity,"Against the background of a contextually salient non-real world, for instance a hypothetical, imagined, simulated, expected, projected, or dream world, an Instance of a Type encountered in a relation ..."
Addiction,"This frame concerns an Addict's physiological or psychological compulsive dependence on an Addictant, the substance or behavior to which the Addict is addicted. '' 'Although she was never a big fan of..."
Adding_up,A Cognizer computes a Result on the basis of input Numbers by addition. ' Add up your savings.' ' This is a cumulative figure obtained by adding up the cost of treating a given volume of specific dise...
Adducing,"A Speaker mentions a Specified_entity filling a Role, thereby providing information which supports a point of the Speaker. 'He cites the chief original observations adduced by Darwin as evidence for h..."
Adjacency,"A Figure is located adjacent to a Ground. This is equivalent to the Figure and Ground either constituting or being associated with a zone, with each zone in contact with the zone of the other. 'The tw..."
Adjusting,"An Agent changes a Part of a complex entity with regard to some Feature in order to achieve some Imposed_purpose affected by the Feature. The complex entity is often a device or mechanism, but may als..."
Adopt_selection,"An Agent has an Attribute which can take different Values, and the Agent selects and then begins to use some Value for that Attribute. The Attribute includes both physical (shape, color) and abstract ..."
Aesthetics,An Entity is judged to be sensually pleasing or intellectually interesting to a (generally implicit) Judge. 'We saw this beautiful boat with the red sails several times' 'We camped here on the beach a...
Affirm_or_deny,"A Speaker uses language to affirm or deny the truth of a Message to some Addressee. Instead of (or in addition to) a Speaker, a Medium may also be mentioned. Likewise, a Topic may be stated instead of..."
