"Term","WordNet Category","Synset Definition","Frequency","Synset Example"
"1-hitter","act","a game in which a pitcher allows the opposing team only one hit","1","a game in which a pitcher allows the opposing team only one hit"
"11-plus","act","(formerly in Britain) an examination taken by 11 and 12 year old students to select suitable candidates for grammar school","1","(formerly in Britain) an examination taken by 11 and 12 year old students to select suitable candidates for grammar school"
"2-hitter","act","a game in which a pitcher allows the opposing team only 2 hits","1","a game in which a pitcher allows the opposing team only 2 hits"
"3-hitter","act","a game in which a pitcher allows the opposing team only 3 hits","2","a game in which a pitcher allows the opposing team only 3 hits"
"4-hitter","act","a game in which a pitcher allows the opposing team 4 hits","1","a game in which a pitcher allows the opposing team 4 hits"
"5-hitter","act","a game in which a pitcher allows the opposing team 5 hits","1","a game in which a pitcher allows the opposing team 5 hits"
"A-scan_ultrasonography","act","the use of ultrasonography to measure the length of the eyeball","1","the use of ultrasonography to measure the length of the eyeball"
"a_capella_singing","act","singing without instrumental accompaniment","1","singing without instrumental accompaniment"
"a_cappella_singing","act","singing without instrumental accompaniment","1","singing without instrumental accompaniment"
"abandonment","act","the act of giving something up","3","the act of giving something up"
"abasement","act","depriving one of self-esteem","2","depriving one of self-esteem"
"abatement","act","the act of abating","1"," ""laws enforcing noise abatement"""
"abatement_of_a_nuisance","act","(law) the removal or termination or destruction of something that has been found to be a nuisance","1","(law) the removal or termination or destruction of something that has been found to be a nuisance"
"abbreviation","act","shortening something by omitting parts of it","1","shortening something by omitting parts of it"
"abdominal_breathing","act","breathing in which most of the respiratory effort is done by the abdominal muscles","1"," ""abdominal breathing is practiced by singers"""
"abdominal_delivery","act","the delivery of a fetus by surgical incision through the abdominal wall and uterus (from the belief that Julius Caesar was born that way)","1","the delivery of a fetus by surgical incision through the abdominal wall and uterus (from the belief that Julius Caesar was born that way)"
"abdominocentesis","act","centesis of the belly to remove fluid for diagnosis","1","centesis of the belly to remove fluid for diagnosis"
