Tool,Document ID,Sentence ID,Document,S,V,O/A,LOCATION,TIME,Sentence
Senna,1,1,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",she,keep,them,,,"THERE was an old sow with three little pigs , and as she had not enough to keep them , she sent them out to seek their fortune . "
Senna,1,1,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",she,sent,them,,,"THERE was an old sow with three little pigs , and as she had not enough to keep them , she sent them out to seek their fortune . "
Senna,1,1,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",fortune,seek,,,,"THERE was an old sow with three little pigs , and as she had not enough to keep them , she sent them out to seek their fortune . "
Senna,1,2,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",,went off,,,,"The first that went off met a man with a bundle of straw , and said to him : "" Please , man , give me that straw to build me a house . "" "
Senna,1,2,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",,met,man,,,"The first that went off met a man with a bundle of straw , and said to him : "" Please , man , give me that straw to build me a house . "" "
Senna,1,2,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",him,said,,,,"The first that went off met a man with a bundle of straw , and said to him : "" Please , man , give me that straw to build me a house . "" "
Senna,1,2,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",me,give,,,,"The first that went off met a man with a bundle of straw , and said to him : "" Please , man , give me that straw to build me a house . "" "
Senna,1,2,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",me,build,,,,"The first that went off met a man with a bundle of straw , and said to him : "" Please , man , give me that straw to build me a house . "" "
Open IE,1,3,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",pig,built,house,,,"Which the man did, and the little pig built a house with it."
Open IE,1,3,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",pig,built,it,,,"Which the man did, and the little pig built a house with it."
Senna,1,3,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",man,did,,,,"Which the man did , and the little pig built a house with it. "
Senna,1,3,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",pig,built,house,,,"Which the man did , and the little pig built a house with it. "
Senna,1,4,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",pig,said,,,,"Presently came along a wolf , and knocked at the door , and said : "" Little pig , little pig , let me come in. "" "
Senna,1,4,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",me,let,,,,"Presently came along a wolf , and knocked at the door , and said : "" Little pig , little pig , let me come in. "" "
Senna,1,4,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",me,come,,,"in. ""","Presently came along a wolf , and knocked at the door , and said : "" Little pig , little pig , let me come in. "" "
Open IE,1,5,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",pig,answered,hair chiny chin chin,,,"To which the pig answered: ""No, no, by the hair of my chiny chin chin."""
Senna,1,5,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",pig,answered,hair,,,"To which the pig answered : "" No , no , by the hair of my chiny chin chin . "" "
Open IE,1,6,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",I,blow,house,,,"The wolf then answered to that: ""Then I'll huff, and I'll puff, and I'll blow your house in."""
Senna,1,6,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",wolf,answered,,,then,"The wolf then answered to that : "" Then I 'll huff , and I 'll puff , and I 'll blow your house in. "" "
